,epoch,loss,auc,val_loss,val_auc
76,77.0,0.034053091146051886,1.0,0.8607701808214188,0.6515624999999999
77,78.0,0.04538648575544357,1.0,0.7301991432905197,0.6521875
78,79.0,0.037465141713619234,1.0,0.9509029313921928,0.6546874999999999
79,80.0,0.034652410075068474,1.0,0.8707305565476418,0.6543749999999999
80,81.0,0.030235647596418856,1.0,0.7578223049640656,0.650625
81,82.0,0.030551737733185293,1.0,0.9392077773809433,0.6503125
82,83.0,0.028226319421082734,1.0,0.9027009829878807,0.6503125
83,84.0,0.028503387235105038,1.0,0.8649201095104218,0.6503125000000001
84,85.0,0.02702532019466162,1.0,0.8063956946134567,0.6509375
85,86.0,0.02206649649888277,1.0,0.8216239809989929,0.6509375
86,87.0,0.022443792223930357,1.0,0.8816172480583191,0.6512499999999999
